1 2 7 3 5 6 4 8 9 10 11 0 13 14 15 12
1 0 3 4 5 2 11 8 9 7 6 12 13 10 14 15
1 2 4 8 5 6 3 11 9 0 10 7 13 14 15 12
1 2 8 0 5 6 7 3 9 10 15 4 13 14 12 11
1 2 7 3 5 6 0 11 9 10 12 4 13 14 8 15
2 6 3 4 1 9 7 8 5 0 14 10 13 15 12 11
1 2 7 3 5 6 11 4 14 0 10 15 9 13 12 8
2 5 3 4 0 1 6 7 9 10 11 8 13 14 15 12
1 2 4 11 5 10 6 3 9 14 8 7 13 15 0 12
1 2 3 4 5 6 7 8 13 9 10 0 14 11 15 12
2 3 4 0 1 6 7 8 5 10 11 12 9 13 14 15
6 0 3 4 2 9 7 8 1 10 15 11 5 13 14 12
5 1 2 4 6 3 7 8 9 14 10 12 0 13 11 15
1 3 4 0 5 2 6 8 9 10 7 12 13 14 11 15
1 2 3 4 5 6 7 8 9 10 11 0 13 14 15 12
1 7 2 4 0 6 3 8 5 9 15 11 13 10 14 12
2 6 3 4 5 1 7 8 9 14 10 12 13 11 0 15
1 3 7 4 5 6 2 8 14 0 10 12 9 13 11 15
1 2 3 4 5 6 0 7 9 10 11 12 13 14 8 15
1 2 3 4 5 6 11 7 13 0 9 8 10 14 15 12
